,pred,gt
0,SUEDWEST KOMMEN WARM MORGEN SCHON FRANKREICH REGION FUENFZEHN BIS ZWANZIG GRAD WOCHENENDE KOMMEN WARM,SUEDWEST KOMMEN WARM MORGEN SCHON FRANKREICH REGION FUENFZEHN BIS ZWANZIG GRAD WOCHENENDE KOMMEN WARM
1,FLACH REGEN ALPEN LANG SCHNEE TAG UEBERWIEGEND WOLKE TEIL AUFLOESEN TEIL SCHNEE,FLACH REGEN ALPEN LANG SCHNEE TAG UEBERWIEGEND WOLKE TEIL AUFLOESEN TEIL SCHNEE
2,SIEBEN BIS ZEHN ZEHN-STUNDEN IX SONNE HABEN SONST REGION WENIG SONNE,SIEBEN BIS ZEHN ZEHN-STUNDEN IX SONNE HABEN SONST REGION WENIG SONNE
3,NACHT NORD MEHR STURM AUCH KUESTE ORKAN TAG SCHWACH MAESSIG WEHEN,NACHT NORD MEHR STURM AUCH KUESTE ORKAN TAG SCHWACH MAESSIG WEHEN
4,NACH __LEFTHAND__ NIEDER FLUSS SPAETER NACH MITTAG IX DANN HIER,FLUSS UND NIEDER FLUSS SPAETER NACH MITTAG IX DANN HIER
5,NORD SCHAUER OFT STURM IX BERG ORKAN HABEN,NORD SCHAUER OFT STURM IX BERG ORKAN HABEN
6,HEUTE NACHT AUFKLAREN MORGEN NACH MITTAG SCHON NORD SEE SCHON BISSCHEN REGEN IX MILD LUFT,HEUTE NACHT AUFKLAREN MORGEN NACH MITTAG SCHON NORD SEE SCHON BISSCHEN REGEN IX MILD LUFT
7,MORGEN loc-NORDOST REGEN DABEI SUEDWEST BLEIBEN TROCKEN,NORD AUCH REGEN DABEI SUEDWEST BLEIBEN TROCKEN
8,MITTWOCH DANN MITTWOCH REGEN REGEN STARK REGEN DANN STEIGEN,REGEN DANN MITTWOCH REGEN DONNERSTAG STARK REGEN DANN STEIGEN
9,BLEIBEN TROCKEN SUED WEHEN BISSCHEN WEHEN NORD FRISCH NATUR STARK STURM SEE MEER SCHWER STURM,BLEIBEN TROCKEN SUED WEHEN BISSCHEN WEHEN NORD FRISCH NATUR STARK STURM SEE MEER SCHWER STURM
10,loc-NORD MEISTENS WOLKE BISSCHEN REGEN SCHNEE WIND SCHWACH WEHEN,REGION MEISTENS WOLKE BISSCHEN REGEN SCHNEE WIND SCHWACH WEHEN
11,REGION BIS ABEND TROCKEN,REGION BIS ABEND TROCKEN
12,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG SIEBEN ZWANZIG JULI,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG SIEBEN ZWANZIG JULI
13,JETZT WETTER WIE-AUSSEHEN MORGEN FREITAG SECHSTE MAI ZEIGEN-BILDSCHIRM,JETZT WETTER WIE-AUSSEHEN MORGEN FREITAG SECHSTE MAI ZEIGEN-BILDSCHIRM
14,MITTE HEUTE NACHT SCHNEE REGION WOLKE BISSCHEN TROCKEN NORD MORGEN KOENNEN SONNE,KUESTE HEUTE NACHT SCHNEE REGION WOLKE BISSCHEN TROCKEN NORD MORGEN KOENNEN SONNE
15,WETTER SO KNAPP VERAENDERN MEISTENS BLEIBEN WOLKE TROCKEN WETTER,WETTER SO KNAPP VERAENDERN MEISTENS BLEIBEN WOLKE TROCKEN WETTER
16,NORDWEST DANN SCHNEE KOENNEN,IX DANN SCHNEE KOENNEN
17,GLATT GEFAHR DANN STARK SCHNEE SCHNEIEN KOMMEN,GLATT GEFAHR DANN STARK SCHNEE SCHNEIEN KOMMEN
18,DONNERSTAG DANN WIEDER MEHR WIND IX WIND KOMMEN ANFANG IX REGEN KOMMEN GLEICH,DONNERSTAG DANN WIEDER MEHR WIND IX WIND KOMMEN ANFANG IX REGEN KOMMEN GLEICH
19,LUFT NORDWESTRAUM REGEN KOENNEN GEWITTER UNWETTER REGEN HAGEL KRAEFTIG WIND KOENNEN,DIENSTAG KOMMEN REGEN KOENNEN GEWITTER UNWETTER REGEN HAGEL KRAEFTIG WIND KOENNEN
20,HEUTE WALD HEUTE ABEND MINUS FUENF FLUSS DREI GRAD MORGEN ZWEI GRAD REGION FLUSS NEUN GRAD,BAYERN WALD HEUTE ABEND MINUS FUENF FLUSS DREI GRAD MORGEN ZWEI GRAD REGION FLUSS NEUN GRAD
21,IN-KOMMEND DRUCKFLAECHE STARK BESONDERS IN-KOMMEND KOENNEN GEWITTER REGEN,OST DRUCKFLAECHE STARK BESONDERS IN-KOMMEND KOENNEN GEWITTER REGEN
22,JETZT WETTER VORAUS INFORMIEREN MORGEN DONNERSTAG DREISSIG JANUAR,JETZT WETTER VORAUS INFORMIEREN MORGEN DONNERSTAG ZWANZIG JANUAR
23,BISSCHEN SCHNEE REGEN HERZ BERG BAYERN REGION MORGEN NORD FREUNDLICH SONNE WOLKE ABER,BISSCHEN DAZWISCHEN REGEN HERZ BERG BAYERN REGION MORGEN NORD FREUNDLICH SONNE WOLKE ABER
24,OST REGION HEUTE SONNE WAHRSCHEINLICH DANN ABEND IX REGEN IX,OST REGION IX SONNE WAHRSCHEINLICH DANN ABEND IX REGEN IX
25,BERG IX DURCHGEHEND REGEN DIENSTAG UEBERALL VIEL SONNE WOLKE LOCKER TROCKEN,BERG IX DURCHGEHEND REGEN DIENSTAG UEBERALL VIEL SONNE WOLKE LOCKER TROCKEN
26,WENN NEBEL NICHT-HABEN FREUNDLICH OST NACHT GEFAHR WIND,WENN NEBEL NICHT-HABEN FREUNDLICH OST NACHT GEFAHR WIND
27,SONNTAG OST NORDWEST WIEDER VIEL WOLKE BISSCHEN REGEN OST KOMMEN FREUNDLICH,SONNTAG WEST NORDWEST WIEDER VIEL WOLKE BISSCHEN REGEN OST KOMMEN FREUNDLICH
28,loc-OST loc-SUED ABER TROTZDEM SCHAUER SUEDOST SCHWACH WEHEN MAESSIG,KOMMEN LOCH ABER TROTZDEM SCHAUER SUEDOST SCHWACH WEHEN MAESSIG
29,REGEN SCHNEE GRAUPEL BIS VIERHUNDERT FUENFHUNDERT METER NUR SUED MEHR FREUNDLICH JETZT WUENSCHEN SCHOEN ABEND,REGEN SCHNEE GRAUPEL BIS VIERHUNDERT FUENFHUNDERT METER NUR SUED MEHR FREUNDLICH JETZT WUENSCHEN SCHOEN ABEND
30,WEST WEHEN SCHWACH IX WIND,WEST WIND SCHWACH IX WIND
31,JETZT WETTER WIE MORGEN MITTWOCH SECHSZEHN MAERZ ZEIGEN-BILDSCHIRM,JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH SECHSZEHN FEBRUAR ZEIGEN-BILDSCHIRM
32,SCHNEE ABEND IM-VERLAUF VERSCHWINDEN MORGEN REGEN NORDOST SCHNELL VERSCHWINDEN SCHON SCHAUER,ABER NACHT IM-VERLAUF VERSCHWINDEN MORGEN REGEN NORDOST SCHNELL VERSCHWINDEN SCHON SCHAUER
33,FREITAG WIND KOMMEN REGEN UEBERWIEGEND WIND,FREITAG DANN KOMMEN REGEN UEBERWIEGEND WIND
34,WIND WEHEN MAESSIG WEHEN WEHEN,WIND SCHWACH MAESSIG IX WEHEN
35,MOEGLICH BISSCHEN ORT SONNE MOEGLICH MORGEN BISSCHEN REGEN ODER SCHNEE,MOEGLICH BISSCHEN ORT SONNE MOEGLICH MORGEN BISSCHEN REGEN ODER SCHNEE
36,WIND NORD WEHEN STARK UNTEN STARK WEHEN HEUTE NACHT,WIND NORD WEHEN WENIG UNTEN STARK WEHEN HEUTE NACHT
37,HEUTE TAG BLEIBEN KALT MITTE EUROPA UNGEFAEHR NULL ZWISCHEN MITTE MEER ZEHN BIS FUENFZEHN,IN-KOMMEND TAG BLEIBEN KALT MITTE EUROPA UNGEFAEHR NULL ZWISCHEN MITTE MEER ZEHN BIS FUENFZEHN
38,MORGEN FRUEH ANFANG FREUNDLICH IM-VERLAUF OST SUED,MORGEN FRUEH ANFANG FREUNDLICH IM-VERLAUF OST SUED
39,REGION NORDWESTRAUM UEBERALL REGION,SPAETER REGEN UEBERALL REGION
40,IM-VERLAUF loc-REGION SIEBENHUNDERT METER HOEHE MOEGLICH SCHNEE ENORM,SUED VIERHUNDERT SIEBENHUNDERT METER HOEHE MOEGLICH SCHNEE ENORM
41,WIND WIND SCHWACH STROEMEN REGION STURM ORKAN KUESTE KOENNEN,AUCH WIND STARK STROEMEN REGION STURM ORKAN KUESTE KOENNEN
42,WIND MAESSIG WEHEN WEST REGION HEUTE NACHT FUENF GRAD REGION HAUPTSAECHLICH FROST MOEGLICH GLATT VORSICHT,WIND MAESSIG WEHEN WEST REGION HEUTE NACHT FUENF GRAD REGION HAUPTSAECHLICH FROST MOEGLICH GLATT VORSICHT
43,TAG OST UND SUEDOST TAG SONNE SONST REGION BISSCHEN SCHNEE SCHNEIEN ODER REGEN MIT FROST,IX OST UND SUEDOST TAG SONNE SONST REGION BISSCHEN SCHNEE SCHNEIEN ODER REGEN MIT FROST
44,NORD cl-KOMMEN SCHAFFEN NUR NORDWEST KOMMEN,WOLKE REGION SCHAFFEN NUR NORDWEST KOMMEN
45,MORGEN MITTE REGION SUED DANN KALT,BESONDERS MITTE REGION SUED DANN KALT
46,MITTWOCH NAECHSTE DASSELBE DONNERSTAG DEUTSCH LAND WECHSELHAFT UEBERWIEGEND REGEN MOEGLICH STARK WIND,MITTWOCH NAECHSTE DASSELBE DONNERSTAG DEUTSCH LAND WECHSELHAFT UEBERWIEGEND REGEN MOEGLICH STARK WIND
47,MONTAG WAHRSCHEINLICH IX NORD SCHON UMWANDELN SCHOEN ABEND EUCH MACHEN GUT EUCH,DANN MONTAG IX NORD SCHON UMWANDELN SCHOEN ABEND EUCH MACHEN GUT EUCH
48,SAMSTAG WAHRSCHEINLICH FREUNDLICH IM-VERLAUF WEST SCHNEE SCHNEIEN REGEN,SONNTAG WAHRSCHEINLICH FREUNDLICH IM-VERLAUF WEST SCHNEE SCHNEIEN REGEN
49,MORGEN KOMMEN KOMMEN MORGEN SOLL EINFLUSS DEUTSCH LAND,HOCH OST KOMMEN MORGEN SOLL EINFLUSS DEUTSCH LAND
50,TAG VIEL WOLKE NEBEL BLEIBEN TROCKEN IX SONNE MOEGLICH,TAG VIEL WOLKE NEBEL BLEIBEN TROCKEN IX SONNE MOEGLICH
51,HEUTE HEUTE NACHT KLAR HIMMEL STERN KOENNEN SEHEN SUEDWEST REGEN KOENNEN NEBEL BEREICH,NORD HEUTE NACHT KLAR HIMMEL STERN KOENNEN SEHEN SUEDWEST REGEN KOENNEN NEBEL BEREICH
52,UND LAND NORDRAUM NICHT-SPUEREN BRINGEN ZIEHEN REGEN,DEUTSCH LAND SUED AUCH BRINGEN ZIEHEN REGEN
53,AB DIENSTAG LUFT HOCH HOEHER TEMPERATUR HOEHER MEHR FREUNDLICH HEUTE NACHT WEST KOMMEN,AB DIENSTAG LUFT HOCH HOEHER TEMPERATUR HOEHER MEHR FREUNDLICH HEUTE NACHT WEST KOMMEN
54,DABEI NORD MEHR MILD ABER TAGSUEBER IX MEHR KUEHL,DABEI NORD MEHR MILD ABER TAGSUEBER IX MEHR KUEHL
55,MORGEN TAG KOMMEN DARUM WARNUNG DEUTSCH WETTER DIENST WARNUNG INFORMIEREN,MORGEN TAG KOMMEN DARUM WARNUNG DEUTSCH WETTER DIENST WARNUNG INFORMIEREN
56,JETZT WETTER WIE-AUSSEHEN MITTWOCH SECHSTE JUNI,MORGEN WETTER WIE-AUSSEHEN MITTWOCH ZWEITE JUNI
57,MORGEN SONNE WOLKE WECHSELHAFT TEILWEISE AUCH LANG SONNE,TAG SONNE WOLKE WECHSELHAFT TEILWEISE AUCH LANG SONNE
58,SAMSTAG SONNE WOLKE WECHSELHAFT NORD REGION SONNE OFT IX SCHAUER SUEDWEST ABEND GEWITTER KOENNEN,MORGEN SONNE WOLKE WECHSELHAFT NORD REGION SONNE OFT IX SCHAUER SUEDWEST ABEND GEWITTER KOENNEN
59,JETZT WETTER MORGEN FREITAG DREI ZWANZIG JULI,JETZT WETTER MORGEN FREITAG DREI ZWANZIG JULI
60,EUROPA NORD LAND MAXIMAL TIEF KOMMEN KUEHL KOMMEN,MORGEN DEUTSCH LAND IX TIEF KOMMEN KUEHL KOMMEN
61,NORDWESTRAUM IX DEUTSCH KOMMEN WOLKE KOMMEN,IX NORD TIEF KOMMEN WOLKE KOMMEN
62,NACHT QUELL IX DANN WOLKE KOMMEN,NACHT KLAR HIMMEL DANN WOLKE KOMMEN
63,MORGEN NORD BISSCHEN REGEN REGION BESSER IM-VERLAUF REGION REGEN,MONTAG NORD REGION REGEN REGION BESSER IM-VERLAUF REGION REGEN
64,MORGEN NORD IX MILD WEST SUEDOST BLEIBEN UNTER VIER NULL GRAD,MORGEN NORD MEHR MILD WEST SUEDOST BLEIBEN UNTER VIER NULL GRAD
65,HEUTE NACHT ZEHN BIS DREI GRAD MITTE BERG MOEGLICH BODEN FROST MORGEN ZEHN GRAD IX SIEBZEHN GRAD OBER FLUSS,HEUTE NACHT ELF BIS DREI GRAD MITTE BERG MOEGLICH BODEN FROST MORGEN ZEHN GRAD IX SIEBZEHN GRAD OBER FLUSS
66,MITTWOCH WEST WOLKE ACHT BIS SECHSZEHN NEBEL KUEHL,MITTWOCH WEST WOLKE ACHT BIS SECHSZEHN NEBEL KUEHL
67,FLUSS SUEDWESTRAUM MITTAG WEST FLUSS WEST SACHSEN MITTE ZWISCHEN SONNE,SPEZIELL VOR MITTAG WEST FLUSS WEST SACHSEN MITTE ZWISCHEN SONNE
68,SONST NEBEL HOCH NEBEL SONNE BLEIBEN,MISCHUNG NEBEL HOCH NEBEL SONNE BLEIBEN
69,EUROPA MEISTENS TIEF DRUCK REGION LUFT MEER LUFT KOMMEN ABER SUEDWEST TATSAECHLICH HOCH DRUCK REGION,MONTAG MEISTENS TIEF DRUCK REGION LUFT MEER LUFT KOMMEN ABER SUEDWEST TATSAECHLICH HOCH DRUCK REGION
70,DAZU MEHR SCHAUEN BISSCHEN MEHR REGEN WIEDER HABEN,FREITAG KOENNEN SCHAUEN BISSCHEN MEHR REGEN WIEDER HABEN
71,SONNTAG TEIL IX WIE-IMMER,SONNTAG AUCH WIE-IMMER WIE-IMMER
72,HEUTE NACHT NORD ZWOELF LAND IX VIER GRAD MORGEN TAG ACHTZEHN MAXIMAL DREI ZWANZIG GRAD,HEUTE NACHT NORD ZWOELF LAND IX VIER GRAD MORGEN TAG ACHTZEHN MAXIMAL DREI ZWANZIG GRAD
73,FREITAG MEHR WOLKE NICHT-SONNE NORDOST SCHNEE SCHNEIEN,FREITAG MEHR WOLKE NICHT-SONNE NORDOST SCHNEE SCHNEIEN
74,TAG DANN loc-NORDWEST REGION REGEN REGEN DOCH BISSCHEN FREUNDLICH,TAG DANN NORD REGION REGEN SUEDOST DOCH BISSCHEN FREUNDLICH
75,TAG SUED FREUNDLICH UNTEN KOMMEN MEHR REGEN TROPFEN,TAG SUED FREUNDLICH UNTEN KOMMEN MEHR REGEN TROPFEN
76,WIND STERN KLAR SEHEN KOENNEN SOMMER NACHT TYPISCH,MILD STERN KLAR SEHEN KOENNEN SOMMER NACHT TYPISCH
77,ABEND ZUSCHAUER GUT ABEND,LIEB ZUSCHAUER GUT ABEND
78,HEUTE NACHT DREIZEHN BIS DREI GRAD ALPEN WAHRSCHEINLICH ZWISCHEN NULL MORGEN ZEHN E IX FLUSS FUENFZEHN,HEUTE NACHT DREIZEHN BIS DREI GRAD ALPEN WAHRSCHEINLICH ZWISCHEN NULL MORGEN ZEHN E IX FLUSS FUENFZEHN
79,IX SUED BESSER ALS NORD HEUTE NACHT NORD MITTE BERG,UNGEMUETLICH SUED BESSER ALS NORD HEUTE NACHT NORD MITTE
80,SONNTAG SELTEN ALPEN AUCH SCHAUER MOEGLICH,SONNTAG SCHEINEN ALPEN AUCH SCHAUER MOEGLICH
81,GANZTAGS TEIL VERSCHWINDEN LANGSAM SCHNELL NORDOST BISSCHEN WOLKE BLEIBEN TROCKEN,MORGEN FRUEH VERSCHWINDEN LANGSAM SCHNELL NORDOST BISSCHEN WOLKE BLEIBEN TROCKEN
82,TAG EUROPA SUED BEKOMMEN REGEN REGION LANG FREUNDLICH,SUEDWEST EUROPA SUED BEKOMMEN REGEN REGION LANG FREUNDLICH
83,cl-KOMMEN SONNE UND UNTERSCHIED DANN TRENNEN ICH NORDWEST MEHR WOLKE,MORGEN FEIER UND UNTERSCHIED DANN TRENNEN ICH NORDWEST MEHR WOLKE
84,REGEN GEWITTER VIEL REGEN NICHT-HABEN SCHOEN ABEND TSCHUESS MACHEN TSCHUESS,REGEN GEWITTER VIEL REGEN NICHT-HABEN SCHOEN ABEND TSCHUESS MACHEN TSCHUESS
85,TEIL SONNE SUED REGION MEHR WOLKE FLUSS ALPEN MOEGLICH SCHNEE ABER IM-VERLAUF WENIGER,TEIL SONNE SUED REGION MEHR WOLKE FLUSS ALPEN MOEGLICH SCHNEE ABER IM-VERLAUF WENIGER
86,JETZT MORGEN WETTER WIE-AUSSEHEN DIENSTAG DREISSIG MAERZ,JETZT MORGEN WETTER WIE-AUSSEHEN DIENSTAG DREISSIG MAERZ
87,SAMSTAG NORD loc-REGION REGEN TEIL MEHR SONNE,SAMSTAG NORD AUCH REGEN REGION MEHR SONNE
88,WEST TROCKEN IX REGEN MEISTENS REGION,HEUTE-NACHT TROCKEN IX REGEN MEISTENS REGION
89,JETZT WETTER WIE-AUSSEHEN MORGEN,JETZT WETTER WIE-AUSSEHEN MORGEN
90,MORGEN DREI GRAD REGION BAYERN WALD IX ZWOELF KOELN,MORGEN DREI GRAD REGION BAYERN WALD IX ZWOELF KOELN
91,DANACH HOCH DRUCK KOMMEN FREUNDLICH GUT IN-KOMMEND TAG SONNE AB HEUTE ABEND BISSCHEN LEICHT REGEN,DANACH HOCH DRUCK KOMMEN FREUNDLICH GUT IN-KOMMEND TAG SONNE AB HEUTE ABEND BISSCHEN LEICHT REGEN
92,WETTER WIE-AUSSEHEN WIE-AUSSEHEN SONNTAG ERSTE APRIL WIE-AUSSEHEN ZEIGEN-BILDSCHIRM,JETZT WETTER MORGEN SAMSTAG ZEHNTE APRIL WIE-AUSSEHEN ZEIGEN-BILDSCHIRM
93,GUT ENORM ABEND WUENSCHEN,TROCKEN ENORM ABEND WUENSCHEN
