,pred,gt
0,WARM MORGEN SCHON REGION BIS ZWANZIG GRAD WOCHENENDE cl-KOMMEN WARM,SUEDWEST KOMMEN WARM MORGEN SCHON FRANKREICH REGION FUENFZEHN BIS ZWANZIG GRAD WOCHENENDE KOMMEN WARM
1,BERG REGEN SCHNEE ALPEN LANG SCHNEE TAG UEBERWIEGEND WOLKE TEIL TEILWEISE SCHNEE,FLACH REGEN ALPEN LANG SCHNEE TAG UEBERWIEGEND WOLKE TEIL AUFLOESEN TEIL SCHNEE
2,SIEBEN BIS ZEHN IX REGEN SONST loc-REGION GEWITTER SONNE,SIEBEN BIS ZEHN ZEHN-STUNDEN IX SONNE HABEN SONST REGION WENIG SONNE
3,NACHT NORD MEHR WIND STURM KUESTE STURM SCHWACH MAESSIG WEHEN,NACHT NORD MEHR STURM AUCH KUESTE ORKAN TAG SCHWACH MAESSIG WEHEN
4,__LEFTHAND__ AUCH REGEN __LEFTHAND__ MITTAG DANN IX,FLUSS UND NIEDER FLUSS SPAETER NACH MITTAG IX DANN HIER
5,REGEN SCHAUER AUCH STURM BODEN BERG ORKAN HABEN,NORD SCHAUER OFT STURM IX BERG ORKAN HABEN
6,HEUTE NACHT NEBEL MORGEN NACH MITTAG NORD SEE BISSCHEN REGEN MILD KUEHL,HEUTE NACHT AUFKLAREN MORGEN NACH MITTAG SCHON NORD SEE SCHON BISSCHEN REGEN IX MILD LUFT
7,loc-NORDOST AUCH REGEN loc-WEST MEHR TROCKEN,NORD AUCH REGEN DABEI SUEDWEST BLEIBEN TROCKEN
8,REGEN DANN MITTWOCH REGEN DONNERSTAG SCHNEE REGEN UND __PU__,REGEN DANN MITTWOCH REGEN DONNERSTAG STARK REGEN DANN STEIGEN
9,TROCKEN SUED WEHEN NORD HOCH WEHEN STURM MEER BERG STARK SCHWER STARK STURM ORKAN,BLEIBEN TROCKEN SUED WEHEN BISSCHEN WEHEN NORD FRISCH NATUR STARK STURM SEE MEER SCHWER STURM
10,loc-REGION HAUPTSAECHLICH WOLKE REGEN SCHNEE WIND SCHWACH WEHEN WEHEN-PLUSPLUS WEHEN,REGION MEISTENS WOLKE BISSCHEN REGEN SCHNEE WIND SCHWACH WEHEN
11,REGION UND ABEND TROCKEN,REGION BIS ABEND TROCKEN
12,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG ZWANZIG JULI,JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG SIEBEN ZWANZIG JULI
13,JETZT WETTER AUSSEHEN MORGEN FREITAG SECHSTE MAI,JETZT WETTER WIE-AUSSEHEN MORGEN FREITAG SECHSTE MAI ZEIGEN-BILDSCHIRM
14,KUESTE HEUTE NACHT REGEN loc-REGION WOLKE BISSCHEN TROCKEN NORDRAUM MORGEN AUCH SONNE __PU__,KUESTE HEUTE NACHT SCHNEE REGION WOLKE BISSCHEN TROCKEN NORD MORGEN KOENNEN SONNE
15,WETTER VERAENDERN BLEIBEN TROCKEN WETTER,WETTER SO KNAPP VERAENDERN MEISTENS BLEIBEN WOLKE TROCKEN WETTER
16,IX BISSCHEN SCHNEE REGEN KOENNEN,IX DANN SCHNEE KOENNEN
17,GLATT WOLKE AUCH SCHNEE SCHNEIEN,GLATT GEFAHR DANN STARK SCHNEE SCHNEIEN KOMMEN
18,DONNERSTAG DANN WIND IX WIND HAUPTSAECHLICH NORD DEUTSCH REGEN WEHEN GLEICH,DONNERSTAG DANN WIEDER MEHR WIND IX WIND KOMMEN ANFANG IX REGEN KOMMEN GLEICH
19,DIENSTAG cl-KOMMEN REGEN KOENNEN GEWITTER STURM REGEN STURM KOENNEN,DIENSTAG KOMMEN REGEN KOENNEN GEWITTER UNWETTER REGEN HAGEL KRAEFTIG WIND KOENNEN
20,HEUTE NACHT MINUS VIER FLUSS ZWEI GRAD MORGEN ZWEI GRAD FLUSS BIS ZEHN GRAD,BAYERN WALD HEUTE ABEND MINUS FUENF FLUSS DREI GRAD MORGEN ZWEI GRAD REGION FLUSS NEUN GRAD
21,loc-REGION NEUN STARK BESONDERS loc-SUED KOENNEN GEWITTER,OST DRUCKFLAECHE STARK BESONDERS IN-KOMMEND KOENNEN GEWITTER REGEN
22,JETZT WETTER VORAUS INFORMIEREN MORGEN DONNERSTAG DREISSIG JANUAR,JETZT WETTER VORAUS INFORMIEREN MORGEN DONNERSTAG ZWANZIG JANUAR
23,SCHNEIEN REGEN BAYERN BERG loc-REGION MORGEN loc-NORD FREUNDLICH SONNE WOLKE ABER,BISSCHEN DAZWISCHEN REGEN HERZ BERG BAYERN REGION MORGEN NORD FREUNDLICH SONNE WOLKE ABER
24,OST loc-REGION SONNE WAHRSCHEINLICH AUCH NACHT IX SCHAUER REGEN IX,OST REGION IX SONNE WAHRSCHEINLICH DANN ABEND IX REGEN IX
25,BERG IX DURCHGEHEND REGEN DIENSTAG REGION VIEL SONNE WOLKE LEICHT TROCKEN,BERG IX DURCHGEHEND REGEN DIENSTAG UEBERALL VIEL SONNE WOLKE LOCKER TROCKEN
26,WENN NEBEL NICHT-HABEN FREUNDLICH NACHT GEFAHR WOLKE STURM,WENN NEBEL NICHT-HABEN FREUNDLICH OST NACHT GEFAHR WIND
27,SONNTAG WEST NORD REGEN GRAD OST REGION FREUNDLICH,SONNTAG WEST NORDWEST WIEDER VIEL WOLKE BISSCHEN REGEN OST KOMMEN FREUNDLICH
28,loc-REGION FLUSS KOMMEN REGEN loc-SUEDOST SCHWACH WEHEN,KOMMEN LOCH ABER TROTZDEM SCHAUER SUEDOST SCHWACH WEHEN MAESSIG
29,REGEN SCHNEE WOLKE BIS METER BISSCHEN SUED MEHR FREUNDLICH IX WUENSCHEN SCHOEN ABEND,REGEN SCHNEE GRAUPEL BIS VIERHUNDERT FUENFHUNDERT METER NUR SUED MEHR FREUNDLICH JETZT WUENSCHEN SCHOEN ABEND
30,WEST KALT SCHWACH STURM WIND,WEST WIND SCHWACH IX WIND
31,JETZT WETTER WIE AUSSEHEN MORGEN MITTWOCH SIEBZEHN MAERZ ZEIGEN-BILDSCHIRM,JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH SECHSZEHN FEBRUAR ZEIGEN-BILDSCHIRM
32,ABER ABEND IM-VERLAUF AUFLOESEN MORGEN REGEN loc-NORD loc-NORDOST MINUS FROST WALD SCHNEE REGEN,ABER NACHT IM-VERLAUF VERSCHWINDEN MORGEN REGEN NORDOST SCHNELL VERSCHWINDEN SCHON SCHAUER
